,emissions,prices,timestamps
0,0.32400891600000004,29.17046,2018-04-10 00:00:00
1,0.322891989,36.13847,2018-04-10 00:05:00
2,0.321769336,44.36716,2018-04-10 00:10:00
3,0.32132693,26.45754,2018-04-10 00:15:00
4,0.320323677,29.17077,2018-04-10 00:20:00
5,0.32036129999999996,26.397679999999998,2018-04-10 00:25:00
6,0.319747235,28.039509999999996,2018-04-10 00:30:00
7,0.318833348,27.32783,2018-04-10 00:35:00
8,0.315292523,29.22257,2018-04-10 00:40:00
9,0.32265921,26.97472,2018-04-10 00:45:00
10,0.324558617,23.841520000000003,2018-04-10 00:50:00
11,0.324162081,30.73964,2018-04-10 00:55:00
12,0.323968073,30.55882,2018-04-10 01:00:00
13,0.32287856600000003,29.176470000000002,2018-04-10 01:05:00
14,0.322023782,23.704439999999998,2018-04-10 01:10:00
15,0.322052653,23.12213,2018-04-10 01:15:00
16,0.320381605,22.51249,2018-04-10 01:20:00
17,0.319523322,21.97474,2018-04-10 01:25:00
18,0.318324216,22.50546,2018-04-10 01:30:00
19,0.316936051,21.845660000000002,2018-04-10 01:35:00
20,0.317218979,21.845860000000002,2018-04-10 01:40:00
21,0.316282794,21.852520000000002,2018-04-10 01:45:00
22,0.317244965,21.59204,2018-04-10 01:50:00
23,0.317567888,22.48207,2018-04-10 01:55:00
24,0.317933362,21.02073,2018-04-10 02:00:00
25,0.316368311,22.60281,2018-04-10 02:05:00
26,0.315666221,22.00538,2018-04-10 02:10:00
27,0.314625036,27.96329,2018-04-10 02:15:00
28,0.313942885,27.96329,2018-04-10 02:20:00
29,0.31384231,27.784309999999998,2018-04-10 02:25:00
30,0.314552634,27.36416,2018-04-10 02:30:00
31,0.312052993,27.8307,2018-04-10 02:35:00
32,0.316988325,29.19665,2018-04-10 02:40:00
33,0.319388193,22.759629999999998,2018-04-10 02:45:00
34,0.319990447,23.02419,2018-04-10 02:50:00
35,0.318436021,23.09883,2018-04-10 02:55:00
36,0.319076584,18.21515,2018-04-10 03:00:00
37,0.318624394,21.30495,2018-04-10 03:05:00
38,0.318336611,19.30634,2018-04-10 03:10:00
39,0.320737504,18.33495,2018-04-10 03:15:00
40,0.321272614,19.85622,2018-04-10 03:20:00
41,0.321899355,21.32616,2018-04-10 03:25:00
42,0.322015123,21.985670000000002,2018-04-10 03:30:00
43,0.32220351199999997,21.84379,2018-04-10 03:35:00
44,0.322063286,22.69913,2018-04-10 03:40:00
45,0.318798077,23.51945,2018-04-10 03:45:00
46,0.318194939,23.84623,2018-04-10 03:50:00
47,0.317580249,23.84623,2018-04-10 03:55:00
48,0.317579251,20.21371,2018-04-10 04:00:00
49,0.318168758,22.33619,2018-04-10 04:05:00
50,0.317418678,20.95209,2018-04-10 04:10:00
51,0.317974105,20.439,2018-04-10 04:15:00
52,0.320203182,20.790570000000002,2018-04-10 04:20:00
53,0.31173286899999997,21.92042,2018-04-10 04:25:00
54,0.310733918,20.44502,2018-04-10 04:30:00
55,0.312762973,20.52289,2018-04-10 04:35:00
56,0.304909561,20.61661,2018-04-10 04:40:00
57,0.30278399699999997,20.75326,2018-04-10 04:45:00
58,0.302574065,20.63919,2018-04-10 04:50:00
59,0.30283942199999997,21.36599,2018-04-10 04:55:00
60,0.302774427,19.60199,2018-04-10 05:00:00
61,0.303109922,19.40524,2018-04-10 05:05:00
62,0.30574244300000003,19.97818,2018-04-10 05:10:00
63,0.3075799,24.608060000000002,2018-04-10 05:15:00
64,0.308727665,22.76844,2018-04-10 05:20:00
65,0.30847932699999997,26.990040000000004,2018-04-10 05:25:00
66,0.307967979,24.64474,2018-04-10 05:30:00
67,0.306658663,29.66498,2018-04-10 05:35:00
68,0.309131668,32.41406,2018-04-10 05:40:00
69,0.310812656,24.74934,2018-04-10 05:45:00
70,0.311955733,24.219839999999998,2018-04-10 05:50:00
71,0.312612451,27.3364,2018-04-10 05:55:00
72,0.31476597100000003,24.6635,2018-04-10 06:00:00
73,0.313118866,24.605620000000002,2018-04-10 06:05:00
74,0.315363298,27.47036,2018-04-10 06:10:00
75,0.316198574,29.294829999999997,2018-04-10 06:15:00
76,0.31643244600000003,30.72115,2018-04-10 06:20:00
77,0.31634476300000003,29.294829999999997,2018-04-10 06:25:00
78,0.31668361300000003,29.40826,2018-04-10 06:30:00
79,0.314957969,29.40826,2018-04-10 06:35:00
80,0.315654117,29.40826,2018-04-10 06:40:00
81,0.31592909199999997,29.490240000000004,2018-04-10 06:45:00
82,0.313573919,29.490240000000004,2018-04-10 06:50:00
83,0.312376881,28.02235,2018-04-10 06:55:00
84,0.310187891,35.88024,2018-04-10 07:00:00
85,0.307430751,30.9055,2018-04-10 07:05:00
86,0.306055984,24.33618,2018-04-10 07:10:00
87,0.30087913899999996,23.46644,2018-04-10 07:15:00
88,0.296089843,21.257179999999998,2018-04-10 07:20:00
89,0.289065378,21.21914,2018-04-10 07:25:00
90,0.282933027,22.90084,2018-04-10 07:30:00
91,0.278509398,22.08781,2018-04-10 07:35:00
92,0.275164494,20.72604,2018-04-10 07:40:00
93,0.26876276,19.234270000000002,2018-04-10 07:45:00
94,0.262533143,18.248279999999998,2018-04-10 07:50:00
95,0.25800130600000004,17.5392,2018-04-10 07:55:00
96,0.251774068,20.0371,2018-04-10 08:00:00
97,0.241799399,19.15457,2018-04-10 08:05:00
98,0.23643967,13.65506,2018-04-10 08:10:00
99,0.231211263,13.468329999999998,2018-04-10 08:15:00
100,0.223609115,16.496029999999998,2018-04-10 08:20:00
101,0.216551102,16.496029999999998,2018-04-10 08:25:00
